title,address,jobType,educational,workExperience,workTag,salary,salaryMonth,companyTag,hrWork,hrName,practice,companyTitle,companyAvatar,companyNature,companyStatus,companyPeople,detailUrl,companyUrl,dist
JAVA/PHP全栈工程师,苏州,java,大专,5-10年,Java|PHP|Docker|Spring|MySQL|不接受居家办公||,"[12000, 20000]",0薪,"[""定期体检"", ""员工旅游""]",谭先生,招聘者,False,豚鼠科技,"https://img.bosszhipin.com/beijin/mcs/chatphoto/20200805/8cdea65d770206124f35e8b197d41e0ac4c774191c5013dd23bd7d7262ce3175_s.jpg?x-oss-process=image/resize,w_100,limit_0",计算机软件,天使轮,"[100, 499]",https://www.zhipin.com/job_detail/62f731020b208f6c1HF-2d20ElZU.html?lid=aIp3izVV0JE.search.7&securityId=qqT2lV5xsOM8J-81yhmqAByHaIpQQWmJU7Hg0XaP1mGvCHsfJwirG_pTyrPxopda3PjEtDfSPDnfDHWRk7RTr_SO-rmo8dud3vxIM0k8_7yK8dtsjEE~&sessionId=,https://www.zhipin.com/gongsi/a72557803a0691933nB-2ti6GA~~.html,相城区
初级编程师C/C++/Python/java,苏州,java,硕士,经验不限,教研,"[9000, 14000]",0薪,无,柯女士,招聘经理,False,裘祈,"https://img.bosszhipin.com/beijin/icon/894ce6fa7e58d64d57e7f22d2f3a9d18afa7fcceaa24b8ea28f56f1bb14732c0.png?x-oss-process=image/resize,w_100,limit_0",培训/辅导机构,不需要融资,"[0, 20]",https://www.zhipin.com/job_detail/0d60825a48e3f4ba1XR52tS7FldW.html?lid=aIp3izVV0JE.search.8&securityId=HBLWOoZy9SvdT-X160pCQzFJaJ0SGpMGLdoGs5Oq4RT92MYLsHrkEXIz7B7Bp7mgUhNAJPgugJSENALnPg_O5SIsacegBZ6H5otf16POJ8vCSls6I0e3&sessionId=,https://www.zhipin.com/gongsi/3c301418f09b51ea1ndy39i1FVI~.html,姑苏区
Java/Python/C/软件开发/测试/算法,苏州,java,本科,经验不限,Java|C++|C|Python,"[15000, 25000]",0薪,"[""企业年金"", ""节假日加班费"", ""交通补助"", ""年终奖"", ""绩效奖金"", ""法定节假日三薪"", ""节日福利"", ""补充医疗保险"", ""带薪年假"", ""五险一金"", ""夜班补助"", ""免费班车"", ""保底工资"", ""加班补助"", ""零食下午茶"", ""团建聚餐"", ""定期体检"", ""意外险"", ""员工旅游"", ""股票期权""]",林女士,招聘HR,False,华为,"https://img.bosszhipin.com/beijin/upload/admin/20241009/7a57a5a743894a0e61db0c9f94e55da3789b92c168491f5575a8c6cfd5eed090fc41aa91be88d106.png.webp?x-oss-process=image/resize,w_100,limit_0",计算机软件,不需要融资,"[0, 10000]",https://www.zhipin.com/job_detail/6cf26b58d1c4c52603V73dm8FldX.html?lid=aIp3izVV0JE.search.9&securityId=boIe4EFsWlXzA-q1FefzfclQVQvajYj3OrIJ82Wjcrf3tByaEjtXRHLIFo1pTj6bzk6AMx3lWQIIgO3izHifmaVv0lvESSAW1KG-A2VOU61noEoGJ2qoQKFT4qnQWD7IW--lqhum8X_rutBU7o4~&sessionId=,https://www.zhipin.com/gongsi/02cd05cce753437e33V50w~~.html,苏州工业园区
JAVA/C++/C/Python/JS/测试,苏州,java,本科,经验不限,Java|C|C++|Spring|SpringCloud|MyBatis|Redis|||,"[13000, 26000]",14薪,"[""交通补助"", ""员工旅游"", ""带薪年假"", ""补充医疗保险"", ""保底工资"", ""年终奖"", ""免费班车"", ""法定节假日三薪"", ""夜班补助"", ""节假日加班费"", ""加班补助"", ""零食下午茶"", ""团建聚餐"", ""企业年金"", ""绩效奖金"", ""节日福利"", ""定期体检"", ""意外险"", ""股票期权"", ""五险一金""]",张先生,hr,False,华为,"https://img.bosszhipin.com/beijin/upload/admin/20241009/7a57a5a743894a0e61db0c9f94e55da3789b92c168491f5575a8c6cfd5eed090fc41aa91be88d106.png.webp?x-oss-process=image/resize,w_100,limit_0",计算机软件,不需要融资,"[0, 10000]",https://www.zhipin.com/job_detail/f89aac747313f2ff1HN80967F1FT.html?lid=aIp3izVV0JE.search.10&securityId=q8PBRSJLm0SYU-S1g9eqwDHtzmr9nGETGZMWx3gSy7yctf6HORC4PjiyWMa-lyIbmBIZWdtCNzoAviln8kktFpdSF5ts-wb6vNompSPZTCg99Nm03h0gj3CMl6JmNM65z3XX0zU3NZuLGAAeTJc~&sessionId=,https://www.zhipin.com/gongsi/02cd05cce753437e33V50w~~.html,
Java,苏州,java,本科,1-3年,SQL|分布式技术|多线程|数据结构|消息队列|||,"[15000, 30000]",15薪,"[""全勤奖"", ""意外险"", ""团建聚餐"", ""带薪年假"", ""免费班车"", ""年终奖"", ""加班补助"", ""交通补助"", ""员工旅游"", ""保底工资"", ""法定节假日三薪"", ""绩效奖金"", ""零食下午茶"", ""住房补贴"", ""五险一金"", ""节假日加班费"", ""定期体检"", ""节日福利"", ""补充医疗保险"", ""有无线网""]",聂先生,华为HR,False,苏州华为技术研发,"https://c-res.zhipin.com/jrs/8_8b509f0f4e04fcca334aaa2c0e799e59.jpg?x-oss-process=image/resize,w_100,limit_0",通信/网络设备,未融资,"[0, 10000]",https://www.zhipin.com/job_detail/fab8cab81c8178551nN_3du9FVtY.html?lid=aIp3izVV0JE.search.11&securityId=jG1yCTWtcm3hA-r1yCNTaABhjjksw0OZ_F83YkSFjY01zwQJwyGj7rRpdntKeJMEfbaE6GpepPyR28K1x7-PSGC3YxucN3XavDs1IvtySZ7D_EGVaLbF&sessionId=,https://www.zhipin.com/gongsi/45a17ba7c953f1321XRz3tq1EVY~.html,苏州工业园区
Java,苏州,java,学历不限,5-10年,系统架构|后端开发|Java,"[10000, 20000]",0薪,"[""五险一金""]",李先生,经理,False,万禾科技,"https://c-res.zhipin.com/jrs/0cbdb3f8394446e8266c109e3f9a2de1.jpg?x-oss-process=image/resize,w_100,limit_0",互联网,未融资,"[20, 99]",https://www.zhipin.com/job_detail/3dc0cecd839afcfd0H190tS5GVE~.html?lid=aIp3izVV0JE.search.12&securityId=HzN0-qo4d8EDT-r1wZmedQ8lhMSN7Yl-I53DeexBMrC0lIAvjx_aJIZJ_FClupmHoPx_a0mE9k7NHahxSY623-Wv-bsmGtLBx-lsmTCWNx-ARNfObw~~&sessionId=,https://www.zhipin.com/gongsi/1a9e1634b2eae2a21nd93N6_FlE~.html,相城区
Java,苏州,java,本科,3-5年,Java|银行,"[11000, 17000]",0薪,"[""五险一金"", ""定期体检"", ""补充医疗保险"", ""年终奖"", ""员工旅游"", ""带薪年假"", ""餐补"", ""节日福利""]",刘女士,高级招聘专员,False,新晨科技,"https://img.bosszhipin.com/beijin/upload/com/logo/20211022/7b5b554d84f9729c5d8f9772c5ceb20524149b049601b0f80d5d610c09129462e9dd683d027551f1.png?x-oss-process=image/resize,w_100,limit_0",通信/网络设备,已上市,"[1000, 9999]",https://www.zhipin.com/job_detail/8bb989df0348bb8a1Hx92NW0FVNX.html?lid=aIp3izVV0JE.search.13&securityId=OhfukbCiu1ZZK-J107ehZLWC8Kd_NZxvgfsofrW2re5S4R8-EIpPfvjM-u4MbUqv8xnS-KKJ-4gdign4PUnvWpYLjfrSDITQ0ODEVLmL6jTZKF6X4t03R1AkWDiRW50r3oyV31neD8RYJGp3jWHp&sessionId=,https://www.zhipin.com/gongsi/352b39e81ed05e5a1XR53t-4.html,
Java,苏州,java,本科,1-3年,,"[10000, 11000]",0薪,无,尹先生,技术管理,False,佳沃思,"https://img.bosszhipin.com/beijin/icon/894ce6fa7e58d64d57e7f22d2f3a9d18afa7fcceaa24b8ea28f56f1bb14732c0.png?x-oss-process=image/resize,w_100,limit_0",电子商务,未融资,"[0, 20]",https://www.zhipin.com/job_detail/d76b9e054b003bab1HN82dm_FlZR.html?lid=aIp3izVV0JE.search.14&securityId=oI64c7ZM7I9zI-i1Izj85QokGpxdGJQbsSwJP5C7VRYREtJ1dp3pgMj7aP4rCWSJzKPidHGWfZ_jk9VX-0O9HlC-V4myUvd4sXza2Ae1HXUfaS8vyCX_&sessionId=,https://www.zhipin.com/gongsi/00f4e535e0eb98c41HJ-0t20GFA~.html,虎丘区
Java,苏州,java,大专,5-10年,后端开发,"[10000, 15000]",0薪,无,李先生,经理,False,飞鲨体育,"https://img.bosszhipin.com/beijin/upload/com/logo/20200427/6415b57a93ff4fbc41d07e39da70d66d361289c128c6b7c56d455d8f9f7b8ad4.jpg?x-oss-process=image/resize,w_100,limit_0",文化艺术/娱乐,未融资,"[0, 20]",https://www.zhipin.com/job_detail/d59d9096864d4d663n153N65GVs~.html?lid=aIp3izVV0JE.search.15&securityId=TF1OozkvDwYnm-B19MSKtKcCeu3Efsyq_ZNqwOuB7ZSzoHKRLISr3Oad-vu_bIhJ-LmhCwonCuxiIJcDy2bPWy7fHHDbsZ-dN2BJJY5ORaWLwoKrXQ~~&sessionId=,https://www.zhipin.com/gongsi/18b8069baf64b8cf33R_2N2_EQ~~.html,苏州工业园区
Java,苏州,java,本科,1-3年,Java|MySQL|数据库开发|HTML|Oracle|ETL||,"[9000, 14000]",13薪,"[""五险一金"", ""零食下午茶"", ""带薪年假"", ""加班补助"", ""股票期权"", ""定期体检"", ""员工旅游"", ""补充医疗保险""]",皮先生,项目总监,False,帕米尔,"https://img.bosszhipin.com/beijin/upload/com/logo/20191009/f8e21bcb22a7dab0327b52d5c3317c3d2d7264f77a8bd03b5eba8010474ae007.png?x-oss-process=image/resize,w_100,limit_0",计算机软件,天使轮,"[0, 20]",https://www.zhipin.com/job_detail/40a3595a01b101a20nN50t-_FFQ~.html?lid=aIp3izVV0JE.search.16&securityId=ByVmzTMTvr-UC-910zE1-V6oAHPlZxgrY9Kk4ODZab7hAZCov-WU9GvjFdVsF40wzGg82vvf0Pu5a6CTjAIvTMlRetBS58RsZs0Gsoh8Q0HKsG1s&sessionId=,https://www.zhipin.com/gongsi/6908366ee20ba09e0n182tm6GA~~.html,虎丘区
